10.107,-68.209,,#ff0000
10.507,-67.931,,#ff0000
10.349,-68.151,,#ff0000
10.285,-67.987,,#ff0000
10.312,-68.085,,#ff0000
10.35,-68.067,,#ff0000
10.28,-68.08,,#ff0000
10.348,-68.091,,#ff0000
10.357,-68.09,,#ff0000
10.344,-68.023,,#ff0000
10.335,-68.117,,#ff0000
10.321,-68.148,,#ff0000
10.367,-68.157,,#ff0000
10.333,-68.129,,#ff0000
10.334,-68.008,,#ff0000
10.303,-68.078,,#ff0000
10.336,-68.096,,#ff0000
10.337,-68.135,,#ff0000
10.266,-68.069,,#ff0000
10.247,-68.102,,#ff0000
10.267,-68.054,,#ff0000
10.212,-68.051,,#ff0000
10.292,-68.068,,#ff0000
10.413,-67.988,,#ff0000
10.418,-67.993,,#ff0000
10.334,-68.112,,#ff0000
10.35,-68.038,,#ff0000
10.341,-68.128,,#ff0000
10.298,-68.11,,#ff0000
10.314,-68.104,,#ff0000
10.808,-67.518,,#005fff
10.224,-67.228,,#005fff
10.35,-68.067,,#005fff
10.161,-67.74,,#005fff
10.668,-67.575,,#005fff
10.352,-62.472,,#02ff00
8.261,-72.186,,#02ff00
8.181,-72.302,,#02ff00
8.296,-72.153,,#02ff00
